"date","trips","total_time","avg_time","member_percent","casual_percent","ebike_percent","regular_percent"
"02-05",49567,604590.832933353,12.1974465457533,84.588536728065,15.411463271935,53.4428147759598,46.5571852240402
"02-06",64566,706259.01196639,10.9385591792335,90.5414614502989,9.45853854970108,52.728990490351,47.271009509649
"02-07",65874,696394.959116273,10.571620959958,91.4093572577952,8.59064274220482,52.1601845948326,47.8398154051674
"02-08",78250,905354.835134652,11.5700298419764,90,10,51.8747603833866,48.1252396166134
"02-09",75636,849005.492683395,11.2248862007958,89.6570416203924,10.3429583796076,53.1730921783278,46.8269078216722
"02-10",83407,1026902.14868464,12.3119420274635,86.2505545098133,13.7494454901867,53.2964859064587,46.7035140935413
"02-11",63237,819025.340400176,12.9516792447487,82.2034568369783,17.7965431630216,54.2641175261318,45.7358824738681
"02-12",55388,671804.725883143,12.1290663299475,83.5848920343757,16.4151079656243,54.659854120026,45.340145879974
"02-13",71687,838227.428649282,11.6928791642737,89.328609092304,10.671390907696,52.7864187370095,47.2135812629905
"02-14",77832,920808.302617071,11.8307161915032,89.1754034330353,10.8245965669647,52.1790523178127,47.8209476821873
"02-15",88530,1114921.183334,12.5937104183213,88.0300463119846,11.9699536880154,50.9443126623743,49.0556873376257
"02-16",74118,857434.953332753,11.5685117425288,88.743625030357,11.256374969643,51.6217383091827,48.3782616908173
"02-17",49296,505729.286217255,10.2590329076853,89.705047062642,10.294952937358,58.0919344368711,41.9080655631289
"02-18",51736,638239.224099324,12.3364625038527,82.7798824802845,17.2201175197155,54.7568424308025,45.2431575691975
"02-19",50936,656426.004365639,12.8872703856927,80.985943144338,19.014056855662,55.8779645044762,44.1220354955238
"02-20",70412,992548.787083166,14.0963015832979,80.3485201386127,19.6514798613873,54.9764244731012,45.0235755268988
"02-21",55924,617350.673116219,11.0391007995891,89.9595880123024,10.0404119876976,55.7685430226736,44.2314569773264
"02-22",54142,566148.500866748,10.4567341595573,91.1436592663736,8.85634073362639,55.2583945919988,44.7416054080012
"02-23",65168,715469.174867368,10.9788419909675,89.8968819052296,10.1031180947704,55.270991897864,44.729008102136
"02-24",59261,641190.084749626,10.8197648495576,88.5236496177925,11.4763503822075,56.9244528441977,43.0755471558023
"02-25",42922,470807.462783922,10.9689078510769,86.2751036764363,13.7248963235637,58.4502120124878,41.5497879875122
"02-26",54379,680718.481316486,12.5180397086463,83.2306588940584,16.7693411059416,55.6740653561117,44.3259346438883
"02-27",58181,629004.952801025,10.8111746584112,90.8715903817397,9.12840961826026,53.9849779137519,46.0150220862481
"02-28",40476,406350.069650295,10.0392842585802,92.7512600059294,7.24873999407056,57.9083901571301,42.0916098428699
"03-01",69858,752392.195683027,10.7703082779786,90.931604111197,9.068395888803,53.786252111426,46.213747888574
"03-02",73359,826784.54923394,11.270390125737,89.6577107103423,10.3422892896577,53.542169331643,46.457830668357
"03-03",65029,708490.604316771,10.8949946072794,88.66198157745,11.3380184225499,54.3465223208107,45.6534776791893
"03-04",56230,688888.86781669,12.2512692124612,83.5372576916237,16.4627423083763,54.3073092655166,45.6926907344834
"03-05",64444,889976.470317984,13.8100749537271,79.9531376078456,20.0468623921544,51.3112159394203,48.6887840605797
"03-06",72304,828897.661466121,11.464063695869,89.0877406505864,10.9122593494136,51.0220734675813,48.9779265324187
"03-07",66344,701628.565065955,10.5756144499268,91.0843482455083,8.91565175449174,53.9656939587604,46.0343060412396
"03-08",71394,778911.521016945,10.9100417544465,90.5104070370059,9.48959296299409,53.8280527775443,46.1719472224557
"03-09",76928,866977.298033754,11.2699835954887,89.1209962562396,10.8790037437604,53.2393926788686,46.7606073211314
"03-10",59213,627605.624699625,10.5991188539615,88.9500616418692,11.0499383581308,56.3136473409555,43.6863526590445
"03-11",48716,556929.629067038,11.4321707255735,84.2659495853518,15.7340504146482,57.00591181542,42.99408818458
"03-12",56077,731422.000483449,13.0431727889054,81.0171728159495,18.9828271840505,54.1451932164702,45.8548067835298
"03-13",32669,320674.492333748,9.81586495863816,91.900578530105,8.09942146989501,59.1876090483333,40.8123909516667
"03-14",39212,378032.630583557,9.64073830928166,92.782821585229,7.21717841477099,57.9797000918086,42.0202999081914
