date,TMAX,TMIN,PRCP,SNOW,AWND,TEMP_AVG,RAIN_FLAG,HOT_DAY,COLD_DAY,WEEKDAY,IS_WEEKEND,trips,total_time,avg_time,member_percent,casual_percent,ebike_percent,regular_percent
2023-04-13,32.2,19.4,0.0,0,25,25.8,0,1,0,3,0,118090,1761264.68044906,14.9145963286396,80.3692099246338,19.6307900753662,43.6463714116352,56.3536285883648
2023-04-14,32.8,21.1,0.0,0,15,26.95,0,1,0,4,0,118439,1841847.55239906,15.5510224875174,77.2853536419591,22.7146463580408,41.1367877135065,58.8632122864935
2023-04-15,23.9,15.0,0.5,0,16,19.45,1,0,0,5,1,100386,1593614.88943342,15.8748718888434,73.806108421493,26.193891578507,42.9880660649891,57.0119339350109
2023-04-16,21.7,13.9,0.0,0,13,17.8,0,0,0,6,1,102993,1724366.72720015,16.7425623799692,72.7379530647714,27.2620469352286,45.179769498898,54.820230501102
2023-04-17,20.0,11.7,0.0,0,26,15.85,0,0,0,0,0,91064,1155864.79075029,12.6928840238765,85.7616621277343,14.2383378722657,48.315470438373,51.684529561627
2023-04-18,13.9,7.2,0.0,0,32,10.55,0,0,0,1,0,95434,1111327.87683257,11.6449889644421,87.9948446046482,12.0051553953518,47.5836703900078,52.4163296099922
2023-04-19,17.8,7.2,0.0,0,26,12.5,0,0,0,2,0,105378,1309498.77543274,12.4266808577953,86.3984892482302,13.6015107517698,46.1538461538462,53.8461538461538
2023-04-20,18.9,7.2,0.0,0,12,13.05,0,0,0,3,0,112207,1462955.21688374,13.0380031271111,84.3788711934193,15.6211288065807,47.7153831757377,52.2846168242623
2023-04-21,21.7,10.6,0.0,0,23,16.15,0,0,0,4,0,114059,1603917.18351673,14.0621711878651,79.7666120165879,20.2333879834121,47.9462383503275,52.0537616496725
2023-04-22,19.4,10.6,17.3,0,32,15.0,1,0,0,5,1,112863,1952119.39569974,17.2963628088897,64.7076544128722,35.2923455871278,38.7390021530528,61.2609978469472
2023-04-23,20.6,10.0,38.4,0,25,15.3,1,0,0,6,1,87108,1419831.87306761,16.2996725107639,72.8693116590899,27.1306883409101,45.4263672682188,54.5736327317812
2023-04-24,16.7,6.7,0.0,0,18,11.7,0,0,0,0,0,98925,1273857.67376604,12.877004536427,84.4144553955016,15.5855446044984,46.7626990144049,53.2373009855951
2023-04-25,15.6,7.8,0.0,0,11,11.7,0,0,0,1,0,105149,1312205.76523395,12.4794887752996,85.9779931335533,14.0220068664467,44.6280991735537,55.3719008264463
